language_1;language_2;proximity;drop
Vim Script;PLpgSQL;0.8214285714285714;
Haskell;GLSL;0.8214285714285714;
Rust;GLSL;0.8214285714285714;
GLSL;Rust;0.8214285714285714;
Groovy;Awk;0.8214285714285714;
XSLT;TeX;0.8214285714285714;
PLpgSQL;Groovy;0.8214285714285714;
GLSL;PLpgSQL;0.8214285714285714;
Awk;Groovy;0.8214285714285714;
PLpgSQL;Vim Script;0.8214285714285714;
Scala;Jinja;0.8214285714285714;
GLSL;Smarty;0.8214285714285714;
PLpgSQL;GLSL;0.8214285714285714;
PLpgSQL;Awk;0.8214285714285714;
GLSL;Haskell;0.8214285714285714;
Awk;PLpgSQL;0.8214285714285714;
Jinja;Scala;0.8214285714285714;
Mustache;Groovy;0.8214285714285714;
Smarty;GLSL;0.8214285714285714;
Makefile;C++;0.8205128205128205;
C++;Makefile;0.8205128205128205;
Inno Setup;AppleScript;0.8181818181818182;
Gnuplot;PostScript;0.8181818181818182;
Mathematica;Gnuplot;0.8181818181818182;
DTrace;AppleScript;0.8181818181818182;
Gnuplot;Inno Setup;0.8181818181818182;
DTrace;Pawn;0.8181818181818182;
PostScript;Pawn;0.8181818181818182;
Inno Setup;OCaml;0.8181818181818182;
Inno Setup;PostScript;0.8181818181818182;
AppleScript;DTrace;0.8181818181818182;
PostScript;Gnuplot;0.8181818181818182;
Verilog;Standard ML;0.8181818181818182;
PostScript;Inno Setup;0.8181818181818182;
Inno Setup;Pawn;0.8181818181818182;
OCaml;Inno Setup;0.8181818181818182;
OCaml;Pawn;0.8181818181818182;
AppleScript;Inno Setup;0.8181818181818182;
Pawn;OCaml;0.8181818181818182;
Inno Setup;Gnuplot;0.8181818181818182;
Pawn;Inno Setup;0.8181818181818182;
Pawn;DTrace;0.8181818181818182;
Pawn;PostScript;0.8181818181818182;
Rust;Smarty;0.8148148148148148;
Smarty;Mustache;0.8148148148148148;
Emacs Lisp;Awk;0.8148148148148148;
Emacs Lisp;Vim Script;0.8148148148148148;
Awk;Emacs Lisp;0.8148148148148148;
Mustache;Smarty;0.8148148148148148;
Rust;Awk;0.8148148148148148;
Smarty;Rust;0.8148148148148148;
Awk;Rust;0.8148148148148148;
Vim Script;Emacs Lisp;0.8148148148148148;
Assembly;Lua;0.8125;
Assembly;Scala;0.8125;
Assembly;Perl;0.8125;
GLSL;Assembly;0.8125;
Lua;Assembly;0.8125;
Assembly;GLSL;0.8125;
Perl;Assembly;0.8125;
Scala;Assembly;0.8125;
Swift;Dart;0.8085106382978723;
Rust;TeX;0.8076923076923077;
TeX;R;0.8076923076923077;
TeX;Rust;0.8076923076923077;
Smarty;Roff;0.8064516129032258;
Roff;Smarty;0.8064516129032258;
PLpgSQL;Roff;0.8064516129032258;
Roff;PLpgSQL;0.8064516129032258;
Tcl;Mustache;0.8;
VHDL;Nunjucks;0.8;
Fortran;Elixir;0.8;
Scilab;OCaml;0.8;
Fortran;Julia;0.8;
Scheme;Fortran;0.8;
Standard ML;DTrace;0.8;
M4;Yacc;0.8;
Mustache;Tcl;0.8;
Groovy;M4;0.8;
Fortran;Scheme;0.8;
Yacc;M4;0.8;
Julia;Fortran;0.8;
Emacs Lisp;Yacc;0.8;
Jinja;Objective-C++;0.8;
OCaml;Scilab;0.8;
Mustache;Rust;0.8;
M4;Groovy;0.8;
Yacc;Emacs Lisp;0.8;
GLSL;CMake;0.8;
CMake;GLSL;0.8;
Scheme;Common Lisp;0.8;
Scheme;Elixir;0.8;
Rust;Mustache;0.8;
Objective-C++;Jinja;0.8;
C;CMake;0.7948717948717948;
CMake;C;0.7948717948717948;
C;Batchfile;0.7948717948717948;
Batchfile;C;0.7948717948717948;
Lua;Scala;0.7931034482758621;
TeX;Perl;0.7931034482758621;
Perl;Scala;0.7931034482758621;
Perl;PLpgSQL;0.7931034482758621;
PLpgSQL;Perl;0.7931034482758621;
Awk;Lua;0.7931034482758621;
Lua;Awk;0.7931034482758621;
